Region,SalesRep,Month,CustomerRating,ComputerSales,AirConditionerSales,FridgeSales,TelevisionSales,Profit,CustomerSegment,SalesTargetAchieved,ComputerProfit,AirConditionerProfit,FridgeProfit,TelevisionProfit,ComputerDiscount%,AirConditionerDiscount%,FridgeDiscount%,TelevisionDiscount%
North,Eve,Jan,1,108,104,56,23,66.75,Residential,Yes,32.4,41.6,28,5.75,7,21,9,7
East,Diana,Jan,4,100,113,4,95,23.95,Commercial,Yes,30,45.2,2,23.75,9,10,11,5
East,Bob,Mar,2,168,112,52,111,62.95,Corporate,Yes,50.4,44.8,26,27.75,24,0,19,4
South,Bob,Jan,1,170,144,43,29,131.35,Residential,No,51,57.6,21.5,7.25,14,14,15,11
West,Diana,Mar,1,176,98,47,47,168.25,Commercial,Yes,52.8,39.2,23.5,11.75,3,23,4,2
East,Charlie,Jan,1,103,67,11,30,151.7,Residential,Yes,30.9,26.8,5.5,7.5,28,3,15,6
North,Alice,Feb,,183,88,64,115,183.85,Commercial,No,54.9,35.2,32,28.75,17,17,11,7
South,Charlie,Feb,1,174,29,88,90,110.3,Commercial,Yes,52.2,11.6,44,22.5,10,16,5,2
North,Eve,Feb,2,124,16,49,84,6.1,Corporate,Yes,37.2,6.4,24.5,21,8,6,4,4
North,Diana,Feb,3,197,29,7,38,2.7,Residential,Yes,59.1,11.6,3.5,9.5,8,17,0,10
East,Charlie,Mar,2,40,15,78,83,91.75,Residential,No,12,6,39,20.75,27,12,18,1
South,Bob,Jan,,20,68,3,27,130.45,Residential,No,6,27.2,1.5,6.75,7,19,9,9
West,Eve,Mar,1,96,130,46,89,65.05,Residential,Yes,28.8,52,23,22.25,2,19,13,9
West,Eve,Feb,3,130,54,24,104,36.6,Commercial,Yes,39,21.6,12,26,20,9,2,11
East,Charlie,Mar,4,139,93,40,102,203.4,Corporate,Yes,41.7,37.2,20,25.5,17,0,5,3
East,Charlie,Jan,,114,103,21,116,45.9,Residential,No,34.2,41.2,10.5,29,13,1,4,11
South,Diana,Mar,4,36,999999,82,87,400096.15,Residential,No,10.8,399999.6,41,21.75,2,16,16,3
West,Alice,Jan,5,11,100,33,93,90.05,Residential,Yes,3.3,40,16.5,23.25,16,21,17,11
West,Charlie,Mar,1,112,18,69,15,5.05,Residential,Yes,33.6,7.2,34.5,3.75,3,2,11,12
West,Charlie,Jan,2,110,5,89,59,103.25,Residential,No,33,2,44.5,14.75,20,16,4,7
North,Bob,Jan,2,30,29,44,3,122.35,Residential,No,9,11.6,22,0.75,27,11,8,2
West,Eve,Feb,AK-AK,67,76,84,10,91,Commercial,No,20.1,30.4,42,2.5,17,23,11,4
North,Alice,Jan,1,142,73,28,79,195.55,Residential,No,42.6,29.2,14,19.75,14,11,19,10
South,Bob,Feb,1,189,137,15,80,112,Commercial,No,56.7,54.8,7.5,20,18,19,8,4
North,Diana,Feb,2,182,109,60,17,222.45,Commercial,Yes,54.6,43.6,30,4.25,27,9,2,1
South,Diana,Feb,1,94,27,20,83,-14.25,Residential,Yes,28.2,10.8,10,20.75,21,6,0,8
West,Charlie,Mar,1,,13,69,11,,Commercial,Yes,,5.2,34.5,2.75,5,9,14,3
West,Charlie,Mar,,29,122,89,48,94,Commercial,No,8.7,48.8,44.5,12,14,17,9,8
South,Diana,Mar,3,70,98,5,5,78.95,Commercial,Yes,21,39.2,2.5,1.25,6,21,13,8
East,Charlie,Mar,4,47,148,57,69,41.05,Residential,Yes,14.1,59.2,28.5,17.25,11,5,6,1
South,Alice,Jan,4,157,37,91,64,120.4,Residential,Yes,47.1,14.8,45.5,16,15,6,3,8
East,Charlie,Jan,2,34,134,93,14,84.8,Corporate,Yes,10.2,53.6,46.5,3.5,8,16,4,8
North,Eve,Mar,1,139,18,60,50,131.4,Commercial,No,41.7,7.2,30,12.5,19,11,19,1
North,Charlie,Jan,2,130,5,65,26,130,Residential,Yes,39,2,32.5,6.5,4,16,15,10
North,Bob,Jan,2,169,94,93,72,108.8,Residential,Yes,50.7,37.6,46.5,18,10,17,2,12
West,Alice,Feb,4,35,93,54,69,180.95,Residential,No,10.5,37.2,27,17.25,1,13,16,5
North,Bob,Feb,2,178,148,91,7,240.85,Residential,Yes,53.4,59.2,45.5,1.75,21,10,12,8
East,Bob,Feb,1,76,94,26,16,124.4,Commercial,No,22.8,37.6,13,4,15,1,5,3
North,Eve,Feb,3,10,18,74,55,45.95,Residential,No,3,7.2,37,13.75,3,20,4,1
South,Alice,Jan,,60,115,11,78,168,Residential,No,18,46,5.5,19.5,4,0,15,6
South,Alice,Mar,5,14,147,39,101,29.75,Commercial,No,4.2,58.8,19.5,25.25,6,10,10,14
West,Alice,Jan,5,22,87,96,56,107.4,Residential,Yes,6.6,34.8,48,14,5,1,16,8
South,Alice,Jan,4,156,76,85,105,207.95,Commercial,Yes,46.8,30.4,42.5,26.25,23,15,4,5
East,Alice,Jan,2,149,134,55,4,92.8,Commercial,Yes,44.7,53.6,27.5,1,21,21,5,10
North,Eve,Feb,4,57,31,82,100,28.5,Residential,Yes,17.1,12.4,41,25,9,2,9,10
West,Charlie,Feb,1,162,78,26,48,36.8,Commercial,Yes,48.6,31.2,13,12,13,19,0,13
North,Bob,Feb,AK-AK,66,999999,23,17,399980.15,Commercial,Yes,19.8,399999.6,11.5,4.25,7,0,9,3
North,Alice,Mar,4,124,76,42,111,96.35,Residential,No,37.2,30.4,21,27.75,28,20,16,0
East,Charlie,Jan,1,44,27,64,36,137,Residential,Yes,13.2,10.8,32,9,13,19,2,3
South,Charlie,Mar,4,85,72,72,70,153.8,Commercial,Yes,25.5,28.8,36,17.5,13,7,1,2
South,Bob,Feb,,103,146,71,80,130.8,Corporate,Yes,30.9,58.4,35.5,20,19,18,16,6
North,Eve,Mar,2,14,121,16,93,-2.15,Commercial,Yes,4.2,48.4,8,23.25,27,0,3,10
West,Diana,Jan,5,31,110,44,100,122.3,Residential,No,9.3,44,22,25,22,4,1,12
South,Diana,Jan,1,112,97,52,38,127.9,Commercial,Yes,33.6,38.8,26,9.5,2,0,4,10
West,Charlie,Feb,3,194,69,63,101,119.55,Residential,No,58.2,27.6,31.5,25.25,0,10,9,9
South,Bob,Feb,3,184,72,6,112,80,Commercial,Yes,55.2,28.8,3,28,28,20,0,4
West,Diana,Mar,3,191,132,74,62,100.6,Commercial,Yes,57.3,52.8,37,15.5,8,8,0,11
East,Charlie,Feb,,140,67,90,48,42.8,Commercial,Yes,42,26.8,45,12,8,4,3,2
West,Eve,Feb,5,133,117,77,10,224.7,Corporate,No,39.9,46.8,38.5,2.5,21,1,6,13
East,Diana,Jan,4,62,94,19,105,177.95,Commercial,Yes,18.6,37.6,9.5,26.25,1,12,13,1
East,Charlie,Feb,2,168,85,87,36,195.9,Commercial,Yes,50.4,34,43.5,9,15,17,13,12
West,Charlie,Feb,,78,107,59,29,22.95,Residential,Yes,23.4,42.8,29.5,7.25,7,24,17,1
East,Alice,Jan,1,113,120,92,78,214.4,Corporate,No,33.9,48,46,19.5,25,11,1,4
North,Eve,Jan,5,170,17,50,4,9.8,Corporate,No,51,6.8,25,1,5,13,0,12
East,Alice,Mar,2,187,128,46,44,42.3,Residential,Yes,56.1,51.2,23,11,22,4,15,12
South,Bob,Feb,1,25,92,47,56,77.8,Residential,Yes,7.5,36.8,23.5,14,12,23,17,7
West,Alice,Jan,4,,15,93,42,,Residential,No,,6,46.5,10.5,0,9,15,7
North,Alice,Mar,2,85,19,82,100,54.1,Commercial,No,25.5,7.6,41,25,18,19,5,13
West,Diana,Mar,2,118,14,92,114,121.5,Commercial,No,35.4,5.6,46,28.5,14,1,9,11
South,Charlie,Feb,2,48,45,35,109,103.15,Residential,No,14.4,18,17.5,27.25,0,3,1,4
South,Eve,Feb,1,98,77,33,13,-8.05,Corporate,No,29.4,30.8,16.5,3.25,9,11,6,12
South,Alice,Mar,AK-AK,183,56,49,46,138.3,Residential,Yes,54.9,22.4,24.5,11.5,0,10,16,1
East,Eve,Jan,1,121,132,8,82,196.6,Commercial,No,36.3,52.8,4,20.5,27,3,2,12
East,Alice,Mar,3,56,32,74,33,167.85,Residential,No,16.8,12.8,37,8.25,11,10,19,3
West,Bob,Feb,1,181,69,73,21,78.65,Residential,Yes,54.3,27.6,36.5,5.25,10,8,11,6
West,Alice,Jan,4,146,21,36,80,17.2,Residential,Yes,43.8,8.4,18,20,28,9,1,13
North,Diana,Jan,2,137,999999,55,79,400050.95,Residential,No,41.1,399999.6,27.5,19.75,16,5,6,5
North,Charlie,Mar,,187,142,16,118,120.4,Commercial,Yes,56.1,56.8,8,29.5,3,14,16,9
West,Bob,Feb,5,86,67,18,57,166.85,Commercial,No,25.8,26.8,9,14.25,28,9,18,6
East,Alice,Mar,2,197,42,45,69,198.65,Residential,Yes,59.1,16.8,22.5,17.25,22,21,11,4
South,Eve,Mar,4,24,74,75,70,159.8,Residential,Yes,7.2,29.6,37.5,17.5,6,20,8,1
West,Bob,Mar,5,45,108,76,102,138.2,Residential,Yes,13.5,43.2,38,25.5,11,5,13,7
North,Bob,Jan,,72,57,83,67,101.65,Commercial,Yes,21.6,22.8,41.5,16.75,12,0,1,13
East,Alice,Jan,3,78,123,14,48,31.6,Commercial,Yes,23.4,49.2,7,12,4,20,3,11
West,Bob,Feb,1,178,78,72,76,42.6,Residential,Yes,53.4,31.2,36,19,27,21,18,1
West,Eve,Feb,4,83,58,21,100,167.6,Commercial,No,24.9,23.2,10.5,25,5,23,15,11
East,Bob,Mar,4,33,24,43,33,106.25,Residential,No,9.9,9.6,21.5,8.25,1,19,16,7
West,Eve,Mar,4,58,83,55,36,74.1,Corporate,Yes,17.4,33.2,27.5,9,20,20,1,14
East,Alice,Mar,2,155,35,31,33,67.25,Corporate,Yes,46.5,14,15.5,8.25,6,3,16,6
South,Charlie,Feb,5,16,139,72,31,49.15,Commercial,Yes,4.8,55.6,36,7.75,13,22,18,2
East,Bob,Jan,,13,62,61,21,147.45,Corporate,Yes,3.9,24.8,30.5,5.25,24,21,7,12
East,Charlie,Jan,2,99,109,91,27,183.55,Corporate,Yes,29.7,43.6,45.5,6.75,21,13,19,3
East,Eve,Mar,1,69,14,66,91,69.05,Corporate,Yes,20.7,5.6,33,22.75,27,19,5,12
West,Bob,Mar,1,64,14,26,72,-38.2,Commercial,Yes,19.2,5.6,13,18,13,21,11,6
West,Diana,Mar,5,25,43,91,101,71.45,Residential,Yes,7.5,17.2,45.5,25.25,9,19,17,3
East,Charlie,Mar,4,38,41,18,62,133.3,Residential,Yes,11.4,16.4,9,15.5,3,7,1,8
West,Bob,Feb,AK-AK,160,123,54,96,183.2,Residential,No,48,49.2,27,24,2,10,18,6
North,Charlie,Jan,3,23,71,82,26,164.8,Commercial,Yes,6.9,28.4,41,6.5,24,14,9,0
North,Bob,Mar,3,88,47,8,66,161.7,Residential,No,26.4,18.8,4,16.5,22,18,2,0
West,Alice,Feb,2,186,56,39,12,171.7,Residential,No,55.8,22.4,19.5,3,26,7,11,14
West,Charlie,Mar,3,42,105,87,22,143.6,Residential,No,12.6,42,43.5,5.5,13,12,15,3
East,Diana,Mar,4,162,60,6,17,71.85,Residential,No,48.6,24,3,4.25,28,17,11,13
South,Diana,Jan,,30,80,94,7,8.75,Commercial,Yes,9,32,47,1.75,5,21,7,13
West,Eve,Mar,,154,72,40,107,98.75,Corporate,Yes,46.2,28.8,20,26.75,22,23,4,12
North,Bob,Jan,,32,141,43,68,163.5,Commercial,Yes,9.6,56.4,21.5,17,14,16,10,8
East,Charlie,Jan,3,66,110,94,37,207.05,Commercial,No,19.8,44,47,9.25,7,5,9,12
West,Eve,Jan,3,,999999,83,38,,Commercial,No,,399999.6,41.5,9.5,4,24,2,3
North,Charlie,Feb,4,151,96,16,96,41.7,Residential,No,45.3,38.4,8,24,2,14,8,12
North,Bob,Feb,,102,27,73,11,99.65,Residential,Yes,30.6,10.8,36.5,2.75,2,12,11,4
South,Diana,Jan,1,29,113,88,1,22.15,Corporate,No,8.7,45.2,44,0.25,12,17,5,0
East,Alice,Mar,2,167,65,53,25,59.85,Residential,Yes,50.1,26,26.5,6.25,1,10,18,14
East,Diana,Jan,1,28,48,67,42,166.6,Residential,Yes,8.4,19.2,33.5,10.5,23,12,15,13
South,Eve,Mar,4,190,20,95,52,45.5,Commercial,No,57,8,47.5,13,0,0,13,1
South,Alice,Jan,2,112,26,54,24,-6,Residential,Yes,33.6,10.4,27,6,11,17,3,10
East,Eve,Mar,2,193,61,97,53,82.05,Residential,No,57.9,24.4,48.5,13.25,7,4,17,3
East,Bob,Feb,1,86,66,32,107,8.95,Residential,Yes,25.8,26.4,16,26.75,18,5,9,11
West,Alice,Mar,2,160,111,59,56,87.9,Residential,No,48,44.4,29.5,14,8,0,17,3
West,Eve,Jan,5,199,75,81,63,82.95,Residential,Yes,59.7,30,40.5,15.75,27,6,11,10
South,Bob,Feb,2,42,94,84,81,187.45,Residential,No,12.6,37.6,42,20.25,13,3,18,9
West,Diana,Mar,4,27,76,32,8,7.5,Commercial,No,8.1,30.4,16,2,27,8,7,5
North,Bob,Mar,4,82,74,44,59,61.95,Corporate,No,24.6,29.6,22,14.75,26,14,0,12
West,Charlie,Mar,AK-AK,170,34,13,45,9.35,Residential,Yes,51,13.6,6.5,11.25,17,5,13,5
West,Bob,Mar,1,169,107,29,27,157.75,Corporate,No,50.7,42.8,14.5,6.75,9,24,5,7
North,Bob,Mar,,198,36,26,52,116.8,Residential,Yes,59.4,14.4,13,13,8,16,13,11
South,Charlie,Feb,3,191,90,41,18,161.3,Residential,Yes,57.3,36,20.5,4.5,5,19,1,12
North,Eve,Feb,,26,61,74,91,25.95,Residential,Yes,7.8,24.4,37,22.75,0,17,8,8
West,Eve,Feb,,28,113,20,86,129.1,Commercial,No,8.4,45.2,10,21.5,4,21,11,13
South,Bob,Feb,2,79,13,79,16,70.4,Residential,Yes,23.7,5.2,39.5,4,9,3,4,0
West,Charlie,Jan,1,129,35,47,66,43.7,Commercial,No,38.7,14,23.5,16.5,24,8,1,0
North,Charlie,Feb,2,110,75,90,5,148.25,Commercial,No,33,30,45,1.25,12,13,18,14
North,Diana,Mar,3,43,141,89,82,116.3,Commercial,Yes,12.9,56.4,44.5,20.5,21,2,6,5
West,Eve,Mar,1,93,17,14,3,-10.55,Commercial,No,27.9,6.8,7,0.75,22,0,6,3
East,Alice,Feb,1,162,135,51,91,71.85,Corporate,Yes,48.6,54,25.5,22.75,3,10,9,10
East,Eve,Mar,3,83,39,96,118,140,Residential,No,24.9,15.6,48,29.5,0,0,16,3
North,Eve,Feb,1,97,25,33,81,101.85,Residential,Yes,29.1,10,16.5,20.25,20,11,13,0
North,Diana,Mar,1,94,68,94,80,198.4,Commercial,Yes,28.2,27.2,47,20,1,24,10,8
East,Alice,Jan,3,20,999999,24,70,399986.1,Commercial,Yes,6,399999.6,12,17.5,23,8,19,11
East,Diana,Jan,1,100,38,46,115,74.95,Residential,Yes,30,15.2,23,28.75,3,4,5,10
West,Alice,Feb,2,153,125,94,7,172.65,Residential,Yes,45.9,50,47,1.75,16,14,7,2
West,Bob,Feb,3,198,19,66,50,77.5,Residential,Yes,59.4,7.6,33,12.5,9,17,18,14
East,Alice,Feb,3,136,124,79,14,96.4,Residential,Yes,40.8,49.6,39.5,3.5,22,8,18,4
West,Diana,Mar,5,122,100,27,38,6.6,Residential,Yes,36.6,40,13.5,9.5,11,12,16,9
West,Eve,Feb,3,89,10,53,104,7.2,Corporate,Yes,26.7,4,26.5,26,26,12,17,0
South,Alice,Jan,3,16,113,9,79,167.25,Commercial,No,4.8,45.2,4.5,19.75,1,23,11,7
West,Alice,Mar,3,25,101,8,111,176.65,Residential,Yes,7.5,40.4,4,27.75,2,12,8,2
North,Charlie,Feb,5,25,36,26,47,39.65,Commercial,No,7.5,14.4,13,11.75,13,9,15,13
West,Eve,Mar,AK-AK,,87,21,112,,Corporate,No,,34.8,10.5,28,24,9,17,14
West,Bob,Mar,5,21,122,85,33,185.85,Residential,No,6.3,48.8,42.5,8.25,14,21,15,0
East,Diana,Feb,4,44,83,11,43,-23.35,Residential,No,13.2,33.2,5.5,10.75,12,6,15,9
North,Bob,Mar,1,30,82,38,91,160.55,Commercial,Yes,9,32.8,19,22.75,8,21,3,5
West,Eve,Jan,2,187,111,42,29,226.75,Commercial,No,56.1,44.4,21,7.25,1,4,6,0
West,Alice,Jan,1,180,130,95,57,188.75,Residential,Yes,54,52,47.5,14.25,18,19,0,14
South,Alice,Mar,,26,19,26,101,27.65,Corporate,No,7.8,7.6,13,25.25,15,6,19,14
West,Eve,Feb,4,41,138,50,5,96.75,Residential,No,12.3,55.2,25,1.25,10,19,0,2
West,Alice,Mar,4,50,77,65,93,38.55,Residential,Yes,15,30.8,32.5,23.25,11,9,7,4
South,Alice,Jan,2,143,105,71,96,211.4,Residential,No,42.9,42,35.5,24,24,9,7,3
East,Alice,Mar,5,36,102,55,60,187.1,Residential,Yes,10.8,40.8,27.5,15,0,24,9,6
West,Diana,Mar,2,157,30,56,117,130.35,Commercial,Yes,47.1,12,28,29.25,1,20,0,5
South,Diana,Jan,1,162,96,44,70,64.5,Corporate,Yes,48.6,38.4,22,17.5,15,23,13,11
North,Charlie,Mar,2,75,129,47,2,105.1,Residential,No,22.5,51.6,23.5,0.5,26,12,13,2
East,Bob,Mar,3,146,77,92,70,54.1,Corporate,No,43.8,30.8,46,17.5,1,14,9,10
North,Eve,Feb,3,101,127,16,110,150.6,Corporate,No,30.3,50.8,8,27.5,25,5,18,7
North,Eve,Feb,5,190,57,31,43,123.05,Residential,Yes,57,22.8,15.5,10.75,29,19,15,7
South,Eve,Jan,1,70,82,8,4,-3.2,Commercial,Yes,21,32.8,4,1,18,11,8,13
West,Charlie,Jan,3,175,96,9,56,204.4,Residential,No,52.5,38.4,4.5,14,9,18,19,1
South,Diana,Jan,3,12,92,39,93,17.15,Commercial,Yes,3.6,36.8,19.5,23.25,18,10,15,6
South,Charlie,Feb,2,112,999999,55,59,400025.45,Residential,No,33.6,399999.6,27.5,14.75,9,5,19,13
South,Eve,Jan,5,64,47,20,89,16.25,Commercial,Yes,19.2,18.8,10,22.25,15,0,7,0
South,Bob,Jan,4,10,80,89,9,16.75,Residential,Yes,3,32,44.5,2.25,12,1,6,1
East,Alice,Jan,4,110,55,40,3,38.75,Corporate,Yes,33,22,20,0.75,15,22,10,7
West,Diana,Feb,5,54,23,61,90,72.4,Corporate,No,16.2,9.2,30.5,22.5,17,14,5,11
North,Diana,Mar,AK-AK,184,126,3,48,123.1,Residential,Yes,55.2,50.4,1.5,12,23,3,14,0
North,Charlie,Jan,2,35,28,70,43,-20.55,Residential,Yes,10.5,11.2,35,10.75,7,4,18,1
West,Diana,Mar,4,130,30,46,91,141.75,Residential,Yes,39,12,23,22.75,23,14,13,11
North,Eve,Jan,2,151,124,49,100,192.4,Commercial,Yes,45.3,49.6,24.5,25,17,10,14,0
West,Eve,Mar,2,191,86,37,96,145.2,Residential,Yes,57.3,34.4,18.5,24,12,9,5,4
North,Charlie,Feb,1,55,104,89,1,66.85,Commercial,Yes,16.5,41.6,44.5,0.25,24,16,9,6
South,Eve,Feb,4,131,21,93,57,15.45,Residential,No,39.3,8.4,46.5,14.25,26,1,13,5
North,Bob,Jan,4,40,72,62,53,32.05,Residential,Yes,12,28.8,31,13.25,6,19,15,5
West,Charlie,Mar,2,68,48,92,118,99.1,Residential,No,20.4,19.2,46,29.5,27,23,12,5
West,Bob,Feb,4,38,65,54,16,10.4,Residential,No,11.4,26,27,4,20,9,10,7
West,Alice,Jan,,115,127,10,51,183.05,Commercial,Yes,34.5,50.8,5,12.75,22,19,2,4
West,Bob,Jan,1,26,97,82,112,99.6,Corporate,Yes,7.8,38.8,41,28,23,2,7,14
West,Alice,Feb,2,151,78,43,75,170.75,Residential,No,45.3,31.2,21.5,18.75,24,18,2,9
East,Alice,Feb,4,173,71,5,90,23.3,Commercial,Yes,51.9,28.4,2.5,22.5,17,4,1,6
East,Bob,Jan,2,195,115,98,104,101.5,Residential,Yes,58.5,46,49,26,5,2,13,2
North,Charlie,Mar,4,,6,71,55,,Commercial,Yes,,2.4,35.5,13.75,8,7,19,8
West,Eve,Mar,1,118,93,86,1,64.85,Residential,No,35.4,37.2,43,0.25,28,4,14,9
North,Eve,Mar,3,100,30,16,90,150.5,Commercial,Yes,30,12,8,22.5,5,11,2,2
West,Alice,Jan,4,34,103,98,28,49.4,Corporate,No,10.2,41.2,49,7,17,13,0,13
West,Alice,Feb,4,196,31,28,53,96.45,Residential,No,58.8,12.4,14,13.25,16,6,14,13
East,Charlie,Jan,5,41,93,72,58,103,Commercial,Yes,12.3,37.2,36,14.5,11,10,19,5
East,Diana,Feb,5,125,5,60,73,102.75,Residential,Yes,37.5,2,30,18.25,2,7,1,2
South,Bob,Mar,4,91,107,42,60,56.1,Residential,Yes,27.3,42.8,21,15,26,4,17,0
East,Alice,Mar,4,119,135,53,59,135.95,Residential,Yes,35.7,54,26.5,14.75,4,7,0,0
South,Eve,Feb,1,155,45,7,108,106,Residential,Yes,46.5,18,3.5,27,6,11,8,2
South,Charlie,Feb,AK-AK,46,999999,79,22,400154.4,Residential,Yes,13.8,399999.6,39.5,5.5,9,14,2,3
South,Bob,Jan,1,35,19,34,8,105.1,Residential,Yes,10.5,7.6,17,2,9,18,1,13
South,Charlie,Mar,5,146,12,82,49,72.85,Residential,Yes,43.8,4.8,41,12.25,18,15,3,1
South,Bob,Jan,2,73,42,3,42,88.7,Residential,Yes,21.9,16.8,1.5,10.5,24,13,15,8
North,Bob,Jan,3,81,118,79,27,96.75,Commercial,No,24.3,47.2,39.5,6.75,25,6,0,14
East,Alice,Jan,2,157,87,56,39,198.65,Corporate,Yes,47.1,34.8,28,9.75,27,7,8,10
South,Charlie,Mar,4,191,60,13,83,158.55,Residential,No,57.3,24,6.5,20.75,3,6,7,7
West,Charlie,Jan,5,115,107,55,25,59.05,Residential,Yes,34.5,42.8,27.5,6.25,9,17,5,11
East,Eve,Jan,2,95,142,10,38,164.8,Residential,Yes,28.5,56.8,5,9.5,17,23,19,12
East,Eve,Jan,5,167,106,27,85,73.25,Corporate,Yes,50.1,42.4,13.5,21.25,2,5,17,2
South,Alice,Jan,2,62,82,42,24,49.4,Commercial,Yes,18.6,32.8,21,6,20,18,15,6
North,Alice,Jan,3,101,87,34,24,-5.9,Residential,Yes,30.3,34.8,17,6,2,3,7,3
South,Diana,Jan,5,108,34,90,60,71,Residential,No,32.4,13.6,45,15,4,22,3,4
North,Eve,Mar,2,20,9,30,83,21.35,Residential,No,6,3.6,15,20.75,15,2,2,3
West,Bob,Jan,,40,123,80,50,74.7,Residential,Yes,12,49.2,40,12.5,19,16,14,8
East,Charlie,Feb,1,186,35,5,111,156.05,Corporate,Yes,55.8,14,2.5,27.75,12,21,5,10
West,Alice,Jan,1,109,27,93,66,43.5,Corporate,Yes,32.7,10.8,46.5,16.5,10,18,0,6
North,Charlie,Jan,,96,52,86,14,120.1,Residential,Yes,28.8,20.8,43,3.5,25,14,17,12
North,Charlie,Mar,1,156,113,81,53,128.75,Commercial,Yes,46.8,45.2,40.5,13.25,12,5,10,3
West,Diana,Mar,,149,44,64,32,162.3,Residential,Yes,44.7,17.6,32,8,18,11,2,12
North,Eve,Feb,,24,10,29,106,-19.8,Residential,Yes,7.2,4,14.5,26.5,27,18,12,7
West,Alice,Feb,1,168,42,47,96,127.7,Corporate,Yes,50.4,16.8,23.5,24,5,5,16,1
East,Charlie,Mar,3,180,104,94,92,143.6,Commercial,Yes,54,41.6,47,23,23,10,17,6
West,Alice,Mar,1,110,31,27,48,-7.1,Residential,Yes,33,12.4,13.5,12,12,19,13,10
East,Bob,Jan,3,174,73,63,39,127.65,Residential,Yes,52.2,29.2,31.5,9.75,27,19,6,0
West,Diana,Mar,AK-AK,38,61,46,40,98.8,Corporate,No,11.4,24.4,23,10,3,9,6,7
North,Bob,Feb,2,123,21,99,42,105.3,Commercial,Yes,36.9,8.4,49.5,10.5,24,15,13,12
West,Alice,Jan,2,116,75,48,111,188.55,Residential,No,34.8,30,24,27.75,21,17,14,13
North,Alice,Feb,3,163,51,16,104,10.3,Residential,No,48.9,20.4,8,26,4,13,11,11
West,Eve,Jan,,117,83,10,77,77.55,Residential,No,35.1,33.2,5,19.25,18,3,11,13
West,Charlie,Mar,5,,999999,50,76,,Corporate,No,,399999.6,25,19,4,11,7,12
South,Charlie,Feb,4,93,17,16,8,-27.3,Commercial,No,27.9,6.8,8,2,20,19,15,14
North,Bob,Jan,3,24,143,67,79,18.65,Residential,No,7.2,57.2,33.5,19.75,13,22,8,5
South,Diana,Jan,5,141,128,82,26,153,Commercial,Yes,42.3,51.2,41,6.5,27,20,1,11
North,Charlie,Mar,2,59,113,84,12,184.9,Commercial,Yes,17.7,45.2,42,3,27,7,13,4
South,Eve,Mar,4,175,94,9,43,69.35,Residential,No,52.5,37.6,4.5,10.75,3,6,15,8
East,Bob,Mar,,32,90,81,51,105.85,Residential,No,9.6,36,40.5,12.75,11,8,4,8
West,Bob,Feb,2,68,96,90,110,50.3,Commercial,No,20.4,38.4,45,27.5,5,23,4,2
North,Eve,Jan,4,99,28,51,91,168.15,Commercial,No,29.7,11.2,25.5,22.75,18,24,19,8
North,Diana,Mar,5,124,77,57,82,53,Commercial,No,37.2,30.8,28.5,20.5,9,16,17,12
West,Eve,Feb,,84,8,15,109,34.15,Corporate,No,25.2,3.2,7.5,27.25,0,9,17,14
North,Diana,Feb,4,165,117,75,100,84.8,Residential,No,49.5,46.8,37.5,25,22,2,4,12
North,Eve,Feb,2,132,50,58,63,178.35,Residential,Yes,39.6,20,29,15.75,22,20,10,8
South,Eve,Mar,2,145,22,58,49,115.55,Corporate,No,43.5,8.8,29,12.25,27,24,12,1
North,Alice,Mar,1,166,47,17,115,138.85,Residential,No,49.8,18.8,8.5,28.75,15,7,2,4
East,Bob,Jan,4,148,97,59,27,206.45,Commercial,No,44.4,38.8,29.5,6.75,3,13,16,10
East,Eve,Jan,1,27,107,60,9,27.15,Commercial,No,8.1,42.8,30,2.25,8,6,17,1
West,Eve,Mar,5,192,128,37,119,228.05,Commercial,Yes,57.6,51.2,18.5,29.75,27,15,13,0
North,Charlie,Feb,1,59,14,90,39,60.05,Residential,Yes,17.7,5.6,45,9.75,17,17,11,6
West,Bob,Feb,1,151,77,99,65,186.85,Commercial,No,45.3,30.8,49.5,16.25,28,10,13,3
East,Charlie,Feb,AK-AK,127,35,18,71,97.85,Corporate,Yes,38.1,14,9,17.75,16,5,17,4
North,Bob,Jan,4,146,64,10,90,60.9,Commercial,Yes,43.8,25.6,5,22.5,14,19,19,3
North,Charlie,Feb,1,148,135,95,71,87.65,Residential,Yes,44.4,54,47.5,17.75,18,20,1,5
West,Eve,Jan,3,117,122,89,116,83.4,Residential,No,35.1,48.8,44.5,29,6,13,6,10
East,Eve,Jan,3,76,18,47,7,89.25,Residential,No,22.8,7.2,23.5,1.75,24,20,14,1
North,Alice,Feb,2,190,147,97,72,253.3,Residential,No,57,58.8,48.5,18,17,12,9,7
West,Charlie,Feb,1,176,6,42,80,101.2,Residential,No,52.8,2.4,21,20,5,3,14,3
East,Diana,Mar,5,87,28,56,67,138.05,Corporate,Yes,26.1,11.2,28,16.75,18,19,16,7
West,Alice,Mar,3,193,68,16,109,63.35,Commercial,Yes,57.9,27.2,8,27.25,20,19,10,2
South,Charlie,Feb,1,165,104,61,10,130.1,Commercial,Yes,49.5,41.6,30.5,2.5,11,10,1,11
North,Charlie,Jan,5,84,999999,96,114,400036.3,Commercial,No,25.2,399999.6,48,28.5,24,17,17,11
South,Alice,Jan,,48,28,55,71,116.85,Residential,Yes,14.4,11.2,27.5,17.75,2,0,3,10
